year,candidate,rank,vote,percentage,party,image
1979,Shehu Shagari,1," 5,668,857",33.77,NPN,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/shehu_shagari.png
1979,Obafemi Awolowo,2," 4,916,651",29.31,UPN,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/obafemi_awolowo.png
1979,Nnamdi Azikiwe,3," 2,822,523",16.75,NPP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/nnamdi_azikwe.png
1983,Shehu Shagari,1,"12,081,471",47.51,NPN,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/shehu_shagari.png
1983,Obafemi Awolowo,2," 7,907,209",31.09,UPN,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/obafemi_awolowo.png
1983,Nnamdi Azikiwe,3," 3,557,113",13.99,NPP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/nnamdi_azikwe.png
1993,MKO Abiola,1," 8,341,309",58.36,SDP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/mko_abiola.png
1993,Bashir Tofa,2," 5,952,087",41.64,NRC,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/bashir_tofa.png
1999,Olusegun Obasanjo,1,"18,738,154",62.78,PDP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/olusegun_obasanjo.png
1999,Olu Falae,2,"11,110,287",37.22,AD-APP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/olu_falae.png
2003,Olusegun Obasanjo,1,"24,456,140",61.94,PDP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/olusegun_obasanjo.png
2003,Muhammadu Buhari,2,"12,710,022",32.19,ANPP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/muhammadu_buhari.png
2003,Chukwuemeka Ojukwu,3," 1,297,445",3.29,APGA,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/chukwuemeka_ojukwu.png
2007,Umaru Yar'Adua,1,"24,638,063",69.6,PDP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/umaru_yaradua.png
2007,Muhammadu Buhari,2," 6,605,299",18.66,ANPP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/muhammadu_buhari.png
2007,Atiku Abubakar,3," 2,637,848",7.45,AC,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/atiku_abubakar.png
2011,Goodluck Jonathan,1,"22,495,187",58.87,PDP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/goodluck_jonathan.png
2011,Muhammadu Buhari,2,"12,214,853",31.97,CPC,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/muhammadu_buhari.png
2011,Nuhu Ribadu,3," 2,079,151",5.44,ACN,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/nuhu_ribadu.png
2015,Muhammadu Buhari,1,"15,424,921",53.96,APC,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/muhammadu_buhari.png
2015,Goodluck Jonathan,2,"12,853,162",44.96,PDP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/goodluck_jonathan.png
2019,Muhammadu Buhari,1,"15,191,847",55.6,APC,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/muhammadu_buhari.png
2019,Atiku Abubakar,2,"11,262,978",41.2,PDP,https://raw.githubusercontent.com/TimileyinSamuel/Nigeria-s-past-elections/main/candidates/atiku_abubakar.png
